Sample ID,Facility,Exhibit,Tissue Type,dDocent Rename,Source,DOB,Date Sampled,Age (days),Age (years),Sex,DW (cm),DL (cm),Mass (kg),Comments
GB-RB-18-11,RATS,Raybay,Fin Clip,CR23_FC,Aquarium,12/27/18,8/8/23,1685,4,Female,NA,NA,NA,
GB-RB-18-11,RATS,Raybay,Whole Blood,CR23_WB,Aquarium,12/27/18,8/8/23,1685,4,Female,NA,NA,NA,
GB-RB-18-28,RATS,Raybay,Fin Clip,CR24_FC,Aquarium,8/30/18,8/8/23,1804,4,Female,NA,NA,NA,Actually GB-RB-18-08
GB-RB-18-28,RATS,Raybay,Whole Blood,CR24_WB,Aquarium,8/30/18,8/8/23,1804,4,Female,NA,NA,NA,Actually GB-RB-18-08
GB-RB-19-02-M,RAMB,Raybay,Fin Clip,CR25_FC,Aquarium,10/2/19,9/7/23,1436,3,Male,NA,NA,NA,
GB-RB-19-02-M,RAMB,Raybay,Whole Blood,CR25_WB,Aquarium,10/2/19,9/7/23,1436,3,Male,NA,NA,NA,
GB-RB-19-03-F,Buffalo,Offsite,Fin Clip,CR26_FC,Aquarium,10/2/19,9/12/23,1441,3,Female,83.5,55,9.5,
GB-RB-19-03-F,Buffalo,Offsite,Whole Blood,CR26_WB,Aquarium,10/2/19,9/12/23,1441,3,Female,83.5,55,9.5,
GB-RB-19-04,RATS,MSBQ1,Fin Clip,CR27_FC,Aquarium,10/2/19,8/8/23,1406,3,Female,NA,NA,NA,
GB-RB-19-04,RATS,MSBQ1,Whole Blood,CR27_WB,Aquarium,10/2/19,8/8/23,1406,3,Female,NA,NA,NA,
GB-RB-20-01,RATS,MSBQ1,Fin Clip,CR28_FC,Aquarium,8/13/20,8/8/23,1090,2,Female,NA,NA,NA,
GB-RB-20-01,RATS,MSBQ1,Whole Blood,CR28_WB,Aquarium,8/13/20,8/8/23,1090,2,Female,NA,NA,NA,
GB-RB-20-02-M,RAMB,Raybay,Fin Clip,CR29_FC,Aquarium,8/13/20,9/7/23,1120,3,Male,NA,NA,NA,
GB-RB-20-02-M,RAMB,Raybay,Whole Blood,CR29_WB,Aquarium,8/13/20,9/7/23,1120,3,Male,NA,NA,NA,
GB-RB-20-03,RATS,MSBQ1,Fin Clip,CR30_FC,Aquarium,8/13/20,8/8/23,1090,2,Female,NA,NA,NA,
GB-RB-20-03,RATS,MSBQ1,Whole Blood,CR30_WB,Aquarium,8/13/20,8/8/23,1090,2,Female,NA,NA,NA,
GB-RB-20-04-F,Buffalo,Offsite,Fin Clip,CR31_FC,Aquarium,8/13/21,9/12/23,760,2,Female,74,50,6.74,
GB-RB-20-04-F,Buffalo,Offsite,Whole Blood,CR31_WB,Aquarium,8/13/21,9/12/23,760,2,Female,74,50,6.74,
Q1 MSB-26,RATS,MSBQ1,Fin Clip,CR32_FC,Aquarium,1/29/21,8/8/23,921,2,Female,NA,NA,NA,
Q1 MSB-26,RATS,MSBQ1,Whole Blood,CR32_WB,Aquarium,1/29/21,8/8/23,921,2,Female,NA,NA,NA,
Q1 MSB-33,RATS,MSBQ1,Fin Clip,CR33_FC,Aquarium,1/29/21,8/8/23,921,2,Female,NA,NA,NA,
Q1 MSB-33,RATS,MSBQ1,Whole Blood,CR33_WB,Aquarium,1/29/21,8/8/23,921,2,Female,NA,NA,NA,
TO-RB-14-09-F,RACA,Raybay,Fin Clip,CR34_FC,Aquarium,4/6/14,9/26/23,3460,9,Female,81.6,57.2,10.5,
TO-RB-14-09-F,RACA,Raybay,Whole Blood,CR34_WB,Aquarium,4/6/14,9/26/23,3460,9,Female,81.6,57.2,10.5,
TO-RB-14-10-M,RACA,Raybay,Fin Clip,CR35_FC,Aquarium,4/15/14,9/26/23,3451,9,Male,74.8,50.1,6.5,
TO-RB-14-10-M,RACA,Raybay,Whole Blood,CR35_WB,Aquarium,4/15/14,9/26/23,3451,9,Male,74.8,50.1,6.5,
TO-RB-16-02-F,RACA,Raybay,Fin Clip,CR36_FC,Aquarium,1/3/16,9/26/23,2823,7,Female,86,58.5,12.9,
TO-RB-16-02-F,RACA,Raybay,Whole Blood,CR36_WB,Aquarium,1/3/16,9/26/23,2823,7,Female,86,58.5,12.9,
TO-RB-16-04-F,RACA,Raybay,Fin Clip,CR37_FC,Aquarium,1/1/16,9/26/23,2825,7,Female,84.4,58.6,13.2,
TO-RB-16-04-F,RACA,Raybay,Whole Blood,CR37_WB,Aquarium,1/1/16,9/26/23,2825,7,Female,84.4,58.6,13.2,
TO-RB-16-06-F,RAMB,Raybay,Fin Clip,CR38_FC,Aquarium,11/2/16,9/7/23,2500,6,Female,NA,NA,NA,
TO-RB-16-06-F,RAMB,Raybay,Whole Blood,CR38_WB,Aquarium,11/2/16,9/7/23,2500,6,Female,NA,NA,NA,
TO-RB-16-08,RATS,Raybay,Fin Clip,CR39_FC,Aquarium,11/16/16,8/8/23,2456,6,Male,NA,NA,NA,
TO-RB-16-08,RATS,Raybay,Whole Blood,CR39_WB,Aquarium,11/16/16,8/8/23,2456,6,Male,NA,NA,NA,
TO-RB-17-06,RATS,Raybay,Fin Clip,CR40_FC,Aquarium,10/14/17,8/8/23,2124,5,Male,NA,NA,NA,
TO-RB-17-06,RATS,Raybay,Whole Blood,CR40_WB,Aquarium,10/14/17,8/8/23,2124,5,Male,NA,NA,NA,
TO-RB-18-01-F,RAMB,Raybay,Fin Clip,CR41_FC,Aquarium,7/11/18,9/7/23,1884,5,Female,NA,NA,NA,
TO-RB-18-01-F,RAMB,Raybay,Whole Blood,CR41_WB,Aquarium,7/11/18,9/7/23,1884,5,Female,NA,NA,NA,
TO-RB-18-02-M,RAMB,Raybay,Fin Clip,CR42_FC,Aquarium,9/13/18,9/7/23,1820,4,Male,NA,NA,NA,
TO-RB-18-02-M,RAMB,Raybay,Whole Blood,CR42_WB,Aquarium,9/13/18,9/7/23,1820,4,Male,NA,NA,NA,
TO-RB-18-04-M,RAMB,Raybay,Fin Clip,CR43_FC,Aquarium,9/19/18,9/7/23,1814,4,Male,NA,NA,NA,
TO-RB-18-04-M,RAMB,Raybay,Whole Blood,CR43_WB,Aquarium,9/19/18,9/7/23,1814,4,Male,NA,NA,NA,
TO-RB-18-05-F,RAMB,Raybay,Fin Clip,CR44_FC,Aquarium,9/22/18,9/7/23,1811,4,Female,NA,NA,NA,
TO-RB-18-05-F,RAMB,Raybay,Whole Blood,CR44_WB,Aquarium,9/22/18,9/7/23,1811,4,Female,NA,NA,NA,
TO-RB-20-01-M,RACA,Raybay,Fin Clip,CR45_FC,Aquarium,1/11/20,9/26/23,1354,3,Male,78,50.9,7.4,
TO-RB-20-01-M,RACA,Raybay,Whole Blood,CR45_WB,Aquarium,1/11/20,9/26/23,1354,3,Male,78,50.9,7.4,
